date,ABI.BR,AD.AS,ADS.DE,ADYEN.AS,AI.PA,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CS.PA,DB1.DE,DG.PA,DHL.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,IBE.MC,IFX.DE,INGA.AS,ISP.MI,ITX.MC,KER.PA,MBG.DE,MUV2.DE,NDA-FI.HE,NOKIA.HE,OR.PA,PRX.AS,RACE.MI,RI.PA,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,STLAM.MI,SU.PA,TTE.PA,UCG.MI,VOW3.DE,^STOXX50E
2025-02-21,49.8750,31.4382,239.1660,1787.0000,155.9696,153.6435,293.4547,701.4333,44.5224,21.8818,11.2394,73.9981,64.3223,62.7613,33.1174,238.7394,101.2509,33.6151,32.4835,279.7061,6.2992,12.5783,12.6909,38.2209,14.8442,4.0808,49.7986,266.9276,50.5666,475.1880,10.5515,4.6125,333.3905,45.8254,472.9850,90.5654,2696.6023,238.7932,5.6427,94.4470,266.6240,89.6376,216.8401,12.3818,248.9628,53.4486,44.2312,86.9811,5474.8501
2025-02-24,50.3194,31.7280,238.4851,1769.4000,152.8048,157.8111,296.1124,704.7918,44.6044,22.1051,11.3446,74.7150,65.6185,62.7260,33.2249,237.1891,101.9505,34.1900,32.6153,276.3408,6.3848,12.6450,12.9689,37.7297,14.7868,4.0921,49.2098,263.9404,51.2976,482.3850,10.5472,4.5381,334.9799,41.7936,471.8077,90.5654,2642.6504,237.5219,5.7108,93.7757,267.3062,88.6125,213.5598,12.3652,231.7463,53.3934,44.3978,89.2238,5453.7598
2025-02-25,50.5513,32.4385,238.3879,1726.6000,153.4342,157.5806,298.7702,689.2834,44.3768,22.4673,11.5001,76.7760,65.2991,63.6349,33.6279,238.6425,102.0904,34.0623,32.9164,268.6487,6.4262,12.7369,13.0820,36.7373,14.8872,4.1666,49.3428,261.3386,52.2006,485.8912,10.7430,4.5400,334.9799,42.1025,468.3739,90.3828,2657.3643,239.5755,5.7971,94.4288,265.4546,88.8214,212.0910,12.3836,223.4765,52.8508,45.6567,92.3020,5447.8999
2025-02-26,54.8799,32.0926,240.7222,1726.4000,153.8189,160.8647,306.7436,705.7796,45.2461,22.8593,11.8293,77.8871,64.9610,64.1732,34.2458,244.1653,103.3496,34.0623,31.8437,271.5332,6.4326,12.8594,13.1622,36.6530,15.1901,4.3056,50.1594,266.0122,52.8283,509.3277,10.9005,4.5520,337.6771,43.1491,473.9661,92.3457,2673.0598,243.1935,5.9764,94.9731,268.1832,91.2702,218.7984,11.8824,230.6823,53.1175,47.0683,93.1815,5527.9902
2025-02-27,55.8074,31.7748,238.6797,1698.2000,152.5949,158.5793,305.4604,690.5675,44.3904,22.5715,11.7882,74.9300,64.2659,64.0761,33.7712,244.8435,103.1164,34.1535,32.3894,277.3023,6.4280,12.6792,13.0066,35.8392,15.3174,4.2903,49.0579,263.7477,51.5814,506.0060,10.7345,4.5132,337.2437,42.8202,436.4883,92.0262,2662.2693,242.9980,5.9438,95.1001,260.6796,90.0742,216.0078,11.2637,227.5872,53.1727,47.0775,91.7303,5472.5601
2025-02-28,55.6915,31.7561,239.4577,1741.2000,154.4134,159.1170,302.7110,670.3177,44.7955,22.5368,11.7287,75.1809,64.6792,64.2967,33.5294,243.3902,103.6294,34.3907,32.7000,275.8600,6.4942,12.4810,13.1480,35.2388,15.3640,4.2727,49.3808,261.2422,51.4008,504.3451,10.7728,4.4503,340.0371,41.8534,441.4919,94.2629,2684.8308,244.5625,5.9669,94.6647,258.5356,91.8017,216.5953,11.3463,226.2815,53.1359,46.8461,91.5544,5463.5400
2025-03-03,56.4258,31.7561,241.4030,1747.2000,157.0887,167.4522,311.8758,681.8749,45.5237,23.8169,11.8247,76.0949,64.6980,65.3204,34.1652,249.3005,104.1424,35.0203,33.7351,276.1485,6.4262,12.4774,12.9878,35.6507,15.8999,4.3377,48.5831,258.8331,52.2263,518.1855,10.9473,4.7062,345.8650,42.0427,442.2768,94.6281,2682.8689,252.1898,6.0388,97.6763,264.6263,90.9854,221.2464,11.3169,222.1224,53.4946,48.1050,93.6652,5540.6899
2025-03-04,56.5224,32.2702,231.1905,1694.0000,155.4975,162.0363,306.4686,652.4387,44.1219,23.3406,11.2029,71.6145,67.9479,63.2643,33.9951,247.0720,104.2357,33.9436,33.0670,274.4178,6.3075,11.9495,12.9407,33.8098,15.4679,4.2099,47.9943,246.2094,49.7152,511.7267,10.5600,4.4906,344.8535,42.1424,422.7530,93.8977,2630.8792,249.3540,5.6734,99.1458,252.3476,87.6824,208.8597,10.1676,211.6281,52.0600,46.0593,89.7955,5387.3101
2025-03-05,55.7494,31.5785,231.4823,1711.6000,158.1728,165.9158,313.7087,664.4897,48.8463,24.3032,11.7424,74.6971,66.4450,65.8852,34.3175,247.9440,109.5058,35.3762,31.9378,269.4179,6.1768,11.8414,12.6956,35.4224,16.0182,4.3643,48.0893,249.6303,51.2460,518.7392,10.9218,4.5477,351.0185,43.0594,415.0024,94.7194,2621.0698,254.9278,5.9074,98.6922,257.9510,95.4369,226.7298,10.6266,218.7371,51.4806,49.4749,92.8297,5489.1201
2025-03-06,55.7881,31.5130,234.5947,1662.6000,157.8056,166.1846,316.9164,661.8228,49.6565,24.6654,12.0076,77.9409,66.1633,68.1002,34.6130,247.9440,110.8583,40.3947,31.1003,261.0526,6.1189,11.9062,12.6108,36.5537,16.7996,4.3900,47.6334,249.6785,53.5765,517.6319,11.0920,4.6337,352.3671,45.0180,407.5461,95.0389,2538.6711,252.9721,6.0522,99.4360,254.6864,100.5149,237.9415,10.8469,216.4158,51.7933,50.5209,96.4795,5520.4702
2025-03-07,56.2905,31.8870,229.9261,1593.6000,157.6307,162.8237,314.5336,657.8715,48.8190,23.0726,12.0351,74.9300,67.4595,67.5707,34.7115,249.3005,109.1327,39.2815,32.0601,261.5334,6.2449,12.1945,12.8040,35.7499,16.9108,4.4185,47.8803,239.9458,52.2006,517.8165,11.2538,4.6135,346.3466,44.1309,404.5047,93.3956,2475.8909,245.2470,5.9678,99.4360,247.8649,100.5149,229.4226,10.6908,216.5609,51.9956,49.3916,95.1163,5468.4102
2025-03-10,56.2712,32.4572,220.5890,1543.4000,160.2186,156.6395,313.7087,631.2010,48.1818,23.3753,11.6693,76.7580,67.9479,65.6911,34.4966,255.0171,108.1999,38.8071,32.4647,262.7834,6.3848,12.2792,12.9548,34.0927,16.6043,4.3241,47.6714,245.7276,53.2841,521.3228,11.0878,4.6106,351.1148,42.9099,399.4030,94.9476,2447.4436,233.1216,5.7070,99.3090,236.0246,95.0098,223.6454,10.9681,211.9182,51.8668,47.7532,96.8753,5386.9800
2025-03-11,55.0924,31.6533,216.3095,1505.6000,155.2527,156.5243,309.5846,624.2865,46.2520,23.4597,11.4635,75.5573,67.0462,64.3850,34.0578,252.4010,106.8941,38.1318,31.4578,255.2835,6.4059,12.2035,12.9831,34.2366,16.3067,4.2330,46.1995,242.8367,52.2522,517.4474,11.0069,4.5612,343.1678,42.5810,394.6938,92.2088,2425.8630,233.3172,5.6216,97.4585,232.5651,93.1685,218.5536,10.3952,215.4486,51.6277,46.6517,95.8199,5309.8999
